"ANLEGG_NR";"LON";"LAT";"NAME";"VALUE_TONNES"
"0101AL02";11,443759999999999;59,01952;"Tot-P";0,6454350000000000006
"0101AL02";11,443759999999999;59,01952;"Tot-N";9,00648000000000002
"0101AL02";11,443759999999999;59,01952;"S.P.M.";6,35673
"0101AL06";11,66896;58,935099999999998;"Tot-P";0,1622499999999999997
"0101AL06";11,66896;58,935099999999998;"Tot-N";4,88989000000000006
"0101AL06";11,66896;58,935099999999998;"S.P.M.";7,7201
"0101AL07";11,360110000000001;59,120800000000003;"S.P.M.";289,11829
"0101AL07";11,360110000000001;59,120800000000003;"Tot-N";1092,709100000000002
"0101AL07";11,360110000000001;59,120800000000003;"Tot-P";47,2676850000000002
"0101.0031.01";11,402338767545;59,125040450374897;"Tot-N";449,816999999999996
"0101.0031.01";11,402338767545;59,125040450374897;"Tot-P";47,08
"0101.0031.01";11,402338767545;59,125040450374897;"S.P.M.";2124,88999999999999
"0104AL01";10,686500000000001;59,474449999999997;"S.P.M.";177,73538
"0104AL01";10,686500000000001;59,474449999999997;"Tot-N";837,84206
"0104AL01";10,686500000000001;59,474449999999997;"Tot-P";6,189495
"0104.0018.01";10,692699075455;59,480982959410497;"S.P.M.";20,50900000000000024
"0104.0018.01";10,692699075455;59,480982959410497;"Tot-P";0,418
"0104.0036.01";10,6677648958003;59,441509300145697;"Tot-P";0,72999999999999998
"0104.0036.01";10,6677648958003;59,441509300145697;"TOC";388
"0104.0036.01";10,6677648958003;59,441509300145697;"Tot-N";17,699999999999999
"0105AL00";11,07577;59,273000000000003;"S.P.M.";408,74692
"0105AL00";11,07577;59,273000000000003;"Tot-N";1819,132659999999982
"0105AL00";11,07577;59,273000000000003;"Tot-P";31,6937999999999998
"0105AL14";11,21396;59,179369999999999;"Tot-P";0,0092099999999999995
"0105AL14";11,21396;59,179369999999999;"Tot-N";1,137649999999999972
"0105AL16";11,21795;59,3003;"Tot-P";0,1584849999999999979
"0105AL16";11,21795;59,3003;"Tot-N";20,6488250000000004
"0105AL18";11,133430000000001;59,352919999999997;"Tot-P";0,0049699999999999998
"0105AL18";11,133430000000001;59,352919999999997;"Tot-N";0,52560000000000002
"0105AL20";11,08921;59,320399999999999;"Tot-P";0,00404000000000000011
"0105AL20";11,08921;59,320399999999999;"Tot-N";0,440820000000000009
