out_par_id,name,unit
1,As,kg
2,BOF5,kg
3,BOF7,kg
4,Cd,kg
5,Cr,kg
6,Cu,kg
7,DIN,kg
8,Hg,kg
9,KOF,kg
10,Ni,kg
11,Pb,kg
12,SS,kg
13,S-TS,kg
14,TDP,kg
15,TOC,kg
16,TON,kg
17,TOTN,kg
18,TOTP,kg
19,TPP,kg
20,Zn,kg
