regine,wood_din_µg/l,wood_totn_µg/l,wood_tdp_µg/l,wood_totp_µg/l,wood_toc_mg/l,upland_din_µg/l,upland_totn_µg/l,upland_tdp_µg/l,upland_totp_µg/l,upland_toc_mg/l,wood_ton_µg/l,wood_tpp_µg/l,upland_ton_µg/l,upland_tpp_µg/l
002.JD1AB,45.1,270.9,1.7,9.0,9.3,31.0,211.8,2.3,9.3,7.2,225.79999999999998,7.3,180.8,7.000000000000001
002.JD1B,45.0,268.9,1.7,8.9,9.1,31.4,213.3,2.3,9.2,7.1,223.89999999999998,7.2,181.9,6.8999999999999995
002.JD1C,44.3,267.8,1.7,8.9,9.1,30.8,211.5,2.3,9.3,7.1,223.5,7.2,180.7,7.000000000000001
002.JD2,44.4,264.2,1.7,8.7,8.4,31.4,213.8,2.3,9.1,6.7,219.79999999999998,6.999999999999999,182.4,6.8
002.JD31,41.8,256.0,1.6,8.4,7.7,28.5,210.1,2.3,9.1,6.8,214.2,6.800000000000001,181.6,6.8
002.JD32,41.5,253.1,1.6,8.1,7.1,25.9,210.3,2.3,9.1,6.9,211.6,6.5,184.4,6.8
002.JD3A0,41.4,254.1,1.6,8.3,7.4,27.2,209.7,2.3,9.1,6.9,212.7,6.700000000000001,182.5,6.8
002.JD3AA,40.8,252.4,1.6,8.2,7.2,25.9,209.5,2.3,9.2,7.1,211.60000000000002,6.6,183.6,6.8999999999999995
002.JD3AB1,40.1,252.1,1.6,8.3,7.5,25.8,207.8,2.3,9.3,7.3,212.0,6.700000000000001,182.0,7.000000000000001
002.JD3AB2,40.1,251.6,1.6,8.3,7.4,25.5,208.0,2.3,9.3,7.3,211.5,6.700000000000001,182.5,7.000000000000001
002.JD3AB3,40.0,252.1,1.6,8.3,7.6,25.8,207.3,2.3,9.3,7.3,212.1,6.700000000000001,181.5,7.000000000000001
002.JD3AB4,40.0,252.0,1.6,8.3,7.5,25.7,207.4,2.3,9.3,7.3,212.0,6.700000000000001,181.70000000000002,7.000000000000001
002.JD3AC,40.0,253.4,1.6,8.4,7.8,26.2,205.9,2.3,9.4,7.3,213.4,6.800000000000001,179.70000000000002,7.1000000000000005
002.JD3B,40.9,254.0,1.6,8.4,7.6,27.1,208.7,2.3,9.2,7.0,213.1,6.800000000000001,181.6,6.8999999999999995
002.JD3C0,40.6,254.4,1.6,8.4,7.8,27.1,207.5,2.3,9.3,7.1,213.8,6.800000000000001,180.4,7.000000000000001
002.JD3CA,41.1,255.9,1.6,8.5,8.0,28.0,208.1,2.3,9.3,7.0,214.8,6.9,180.1,7.000000000000001
002.JD3CB,41.3,256.6,1.6,8.5,8.0,28.4,208.6,2.3,9.2,7.0,215.3,6.9,180.2,6.8999999999999995
002.JD3D,41.2,258.1,1.6,8.6,8.3,28.0,206.4,2.3,9.4,7.2,216.90000000000003,7.0,178.4,7.1000000000000005
002.JD4,42.5,255.7,1.6,8.2,7.2,27.8,210.6,2.3,9.0,6.6,213.2,6.6,182.79999999999998,6.7
002.JDA1,40.7,251.2,1.6,8.1,7.0,24.8,210.5,2.3,9.2,7.3,210.5,6.5,185.7,6.8999999999999995
002.JDA21,41.2,251.8,1.6,8.1,6.9,24.9,211.1,2.3,9.1,7.2,210.60000000000002,6.5,186.2,6.8
002.JDA22,40.1,249.5,1.6,8.0,6.9,23.9,211.3,2.3,9.2,7.5,209.4,6.4,187.4,6.8999999999999995
002.JDA2Z,40.9,250.1,1.6,7.9,6.7,23.5,213.4,2.3,9.2,7.4,209.2,6.300000000000001,189.9,6.8999999999999995
002.JDAZ,39.7,251.0,1.6,8.3,7.5,25.0,207.3,2.3,9.4,7.5,211.3,6.700000000000001,182.3,7.1000000000000005
002.JDB0,39.3,248.6,1.6,8.1,7.1,23.7,209.6,2.3,9.4,7.7,209.3,6.5,185.9,7.1000000000000005
002.JDBZ,38.2,245.9,1.7,8.0,7.1,22.7,209.6,2.3,9.5,8.0,207.7,6.3,186.9,7.2
002.JDC0,39.7,246.9,1.6,7.9,6.7,22.3,215.2,2.3,9.3,7.9,207.2,6.300000000000001,192.89999999999998,7.000000000000001
002.JDCZ,40.6,247.5,1.6,7.7,6.3,21.6,219.5,2.3,9.1,7.9,206.9,6.1,197.9,6.8
002.JDD0,39.5,245.2,1.7,7.7,6.4,21.4,219.3,2.3,9.3,8.2,205.7,6.0,197.9,7.000000000000001
002.JDDZ,39.7,244.4,1.7,7.6,6.2,20.7,223.6,2.3,9.2,8.3,204.7,5.8999999999999995,202.9,6.8999999999999995
002.JDE,38.9,242.4,1.7,7.5,6.2,20.3,224.8,2.3,9.3,8.5,203.5,5.8,204.5,7.000000000000001
002.JE1,41.7,252.8,1.6,8.1,6.9,25.3,211.1,2.3,9.1,7.0,211.10000000000002,6.5,185.79999999999998,6.8
002.JE2,42.5,254.1,1.6,8.0,6.7,25.4,211.0,2.3,9.0,6.7,211.6,6.4,185.6,6.7
002.JE3,41.7,251.9,1.6,7.9,6.7,24.1,212.7,2.3,9.1,7.1,210.2,6.300000000000001,188.6,6.8
002.JE41,42.1,252.9,1.6,8.0,6.7,24.5,212.1,2.3,9.0,7.0,210.8,6.4,187.6,6.7
002.JE42,42.7,253.7,1.6,7.9,6.5,24.2,212.5,2.3,8.9,6.9,211.0,6.300000000000001,188.3,6.6000000000000005
002.JE4Z,43.4,255.0,1.6,7.9,6.4,24.5,211.6,2.2,8.8,6.6,211.6,6.300000000000001,187.1,6.6000000000000005
002.JE5,41.9,251.3,1.6,7.8,6.4,23.1,214.8,2.3,9.0,7.3,209.4,6.199999999999999,191.70000000000002,6.7
002.JE60,42.8,253.7,1.6,7.9,6.4,23.9,213.0,2.3,8.9,6.9,210.89999999999998,6.300000000000001,189.1,6.6000000000000005
002.JE6A,43.8,255.2,1.5,7.8,6.2,23.4,213.2,2.2,8.8,6.7,211.39999999999998,6.3,189.79999999999998,6.6000000000000005
002.JE6B,44.4,255.8,1.5,7.6,6.0,22.6,214.4,2.2,8.7,6.6,211.4,6.1,191.8,6.499999999999999
002.JE710,42.6,252.3,1.6,7.7,6.3,22.8,215.7,2.3,8.9,7.1,209.70000000000002,6.1,192.89999999999998,6.6000000000000005
002.JE71A,42.5,251.5,1.6,7.7,6.2,22.2,217.5,2.3,8.9,7.3,209.0,6.1,195.3,6.6000000000000005
002.JE71B,42.6,251.9,1.6,7.7,6.2,22.3,217.1,2.2,8.9,7.2,209.3,6.1,194.79999999999998,6.7
002.JE71C,41.8,250.2,1.6,7.7,6.3,22.2,217.6,2.3,9.0,7.5,208.39999999999998,6.1,195.4,6.7
002.JE72,42.4,250.5,1.6,7.6,6.0,21.4,220.6,2.2,8.9,7.3,208.1,6.0,199.2,6.7
002.JE7A,42.8,252.2,1.6,7.7,6.2,22.2,217.2,2.2,8.9,7.1,209.39999999999998,6.1,195.0,6.7
002.JE7B,41.3,248.2,1.6,7.6,6.1,21.3,221.4,2.3,9.0,7.7,206.89999999999998,6.0,200.1,6.7
002.JE8,43.8,254.3,1.6,7.6,6.0,22.2,216.2,2.2,8.8,6.8,210.5,6.0,194.0,6.6000000000000005
002.JEA0,44.4,254.4,1.6,7.3,5.6,20.6,221.8,2.2,8.5,6.4,210.0,5.699999999999999,201.20000000000002,6.3
002.JEAZ,43.5,252.5,1.6,7.0,5.4,20.2,228.7,2.1,8.2,6.0,209.0,5.4,208.5,6.1
002.JEB,43.5,253.6,1.6,6.9,5.4,20.2,226.7,2.1,8.0,5.6,210.1,5.300000000000001,206.5,5.9
002.JF0,42.2,248.9,1.6,7.3,5.8,20.4,226.1,2.2,8.8,7.3,206.7,5.699999999999999,205.7,6.6000000000000005
002.JFZ,41.2,245.3,1.7,7.1,5.7,19.9,232.9,2.2,8.8,7.3,204.10000000000002,5.3999999999999995,213.0,6.6000000000000005
002.JG0,43.2,250.8,1.6,7.1,5.5,20.1,228.6,2.2,8.5,6.6,207.60000000000002,5.5,208.5,6.3
002.JGZ,42.8,250.4,1.6,7.0,5.5,20.2,232.8,2.1,8.3,6.2,207.60000000000002,5.4,212.60000000000002,6.200000000000001
002.JH1,42.1,247.8,1.6,7.0,5.5,20.0,233.8,2.2,8.6,6.7,205.70000000000002,5.4,213.8,6.3999999999999995
002.JH2,42.6,249.4,1.6,7.1,5.5,20.1,232.0,2.2,8.5,6.6,206.8,5.5,211.9,6.3
002.JH3,42.1,247.7,1.6,7.0,5.5,20.1,235.6,2.2,8.5,6.5,205.6,5.4,215.5,6.3
002.JH4,42.5,249.0,1.6,7.0,5.5,20.1,233.9,2.2,8.5,6.4,206.5,5.4,213.8,6.3
002.JH5,42.0,247.7,1.6,6.9,5.5,20.2,237.5,2.2,8.5,6.4,205.7,5.300000000000001,217.3,6.3
002.JH6,42.4,249.2,1.6,6.9,5.5,20.2,235.6,2.1,8.4,6.2,206.79999999999998,5.300000000000001,215.4,6.300000000000001
002.JHA0,41.6,246.6,1.7,6.8,5.5,20.4,242.1,2.1,8.4,6.2,205.0,5.1,221.7,6.300000000000001
002.JHAZ,40.7,242.8,1.7,6.8,5.5,20.3,243.6,2.2,8.7,6.5,202.10000000000002,5.1,223.29999999999998,6.499999999999999
002.JHB,40.9,243.9,1.7,7.0,5.6,20.0,238.1,2.2,8.8,6.9,203.0,5.3,218.1,6.6000000000000005
002.JJ,42.1,248.7,1.6,6.8,5.4,20.5,240.4,2.1,8.2,5.9,206.6,5.199999999999999,219.9,6.1
002.K11,55.4,298.3,2.0,9.5,11.0,35.2,231.0,2.3,9.1,8.0,242.9,7.5,195.8,6.8
002.K12,53.6,292.8,2.0,9.4,10.6,34.8,228.3,2.3,9.1,7.8,239.20000000000002,7.4,193.5,6.8
002.K1Z,53.7,294.4,1.9,9.4,10.8,34.6,227.7,2.3,9.1,7.8,240.7,7.5,193.1,6.8
002.K20,55.9,295.8,2.0,9.4,10.6,35.8,233.1,2.3,9.0,7.9,239.9,7.4,197.3,6.7
002.K2A0,53.8,289.6,2.0,9.2,10.1,35.5,230.1,2.3,9.0,7.6,235.8,7.199999999999999,194.6,6.7
002.K2AZ,52.8,283.3,2.0,8.9,9.4,36.2,229.6,2.2,8.8,7.0,230.5,6.9,193.39999999999998,6.6000000000000005
002.K2B,51.6,281.9,2.0,9.0,9.4,35.6,227.5,2.2,8.9,7.0,230.29999999999998,7.0,191.9,6.7
002.K30,49.8,280.9,1.9,9.1,9.7,33.9,222.4,2.3,9.1,7.3,231.09999999999997,7.199999999999999,188.5,6.8
002.K3Z,45.7,267.7,1.8,8.7,8.6,32.6,216.5,2.3,9.1,6.7,222.0,6.8999999999999995,183.9,6.8
002.K4,50.4,280.6,1.9,9.0,9.5,34.7,224.6,2.3,9.0,7.1,230.20000000000002,7.1,189.89999999999998,6.7
002.K5,47.0,270.4,1.8,8.8,8.7,33.7,219.1,2.3,9.0,6.7,223.39999999999998,7.000000000000001,185.39999999999998,6.7
002.K60,48.2,273.2,1.9,8.8,8.8,34.5,221.7,2.3,8.9,6.7,225.0,6.9,187.2,6.6000000000000005
002.K6A11,47.4,270.7,1.8,8.7,8.6,34.3,220.3,2.3,8.9,6.5,223.29999999999998,6.8999999999999995,186.0,6.6000000000000005
002.K6A12,47.7,271.1,1.8,8.7,8.6,34.6,221.0,2.3,8.9,6.5,223.40000000000003,6.8999999999999995,186.4,6.6000000000000005
002.K6A1A1,47.7,271.1,1.8,8.7,8.6,34.6,221.0,2.3,8.9,6.5,223.40000000000003,6.8999999999999995,186.4,6.6000000000000005
002.K6A1A2,47.7,271.1,1.8,8.7,8.6,34.6,221.0,2.3,8.9,6.5,223.40000000000003,6.8999999999999995,186.4,6.6000000000000005
002.K6A1A3,47.6,270.8,1.8,8.7,8.6,34.6,220.7,2.3,8.9,6.5,223.20000000000002,6.8999999999999995,186.1,6.6000000000000005
002.K6A1A4,47.6,270.7,1.8,8.7,8.5,34.7,220.9,2.3,8.9,6.4,223.1,6.8999999999999995,186.2,6.6000000000000005
002.K6A1B,47.4,269.9,1.8,8.6,8.5,34.6,220.4,2.3,8.9,6.4,222.49999999999997,6.8,185.8,6.6000000000000005
002.K6A21,47.9,271.8,1.8,8.7,8.7,34.6,221.2,2.3,8.9,6.6,223.9,6.8999999999999995,186.6,6.6000000000000005
002.K6A22,47.7,271.1,1.8,8.7,8.6,34.6,221.0,2.3,8.9,6.5,223.40000000000003,6.8999999999999995,186.4,6.6000000000000005
002.K6A31,47.7,271.1,1.8,8.7,8.6,34.6,221.0,2.3,8.9,6.5,223.40000000000003,6.8999999999999995,186.4,6.6000000000000005
002.K6A32,47.8,271.1,1.8,8.7,8.6,34.7,221.1,2.3,8.9,6.5,223.3,6.8999999999999995,186.39999999999998,6.6000000000000005
002.K6A41,47.7,271.1,1.8,8.7,8.6,34.6,221.0,2.3,8.9,6.5,223.40000000000003,6.8999999999999995,186.4,6.6000000000000005
002.K6A42,49.0,274.1,1.9,8.7,8.8,35.3,223.5,2.2,8.8,6.5,225.10000000000002,6.799999999999999,188.2,6.6000000000000005
002.K6A5,48.0,271.0,1.9,8.6,8.5,35.2,221.7,2.2,8.8,6.3,223.0,6.699999999999999,186.5,6.6000000000000005
002.K6A6,48.5,272.4,1.9,8.7,8.6,35.3,222.6,2.2,8.8,6.4,223.89999999999998,6.799999999999999,187.3,6.6000000000000005
002.K6A7,48.3,271.1,1.9,8.6,8.4,35.9,222.6,2.2,8.7,6.1,222.8,6.699999999999999,186.7,6.499999999999999
002.K6A8,48.8,272.7,1.9,8.6,8.6,35.7,223.3,2.2,8.8,6.3,223.89999999999998,6.699999999999999,187.60000000000002,6.6000000000000005
002.K6AA,48.8,272.1,1.9,8.6,8.4,36.3,223.6,2.2,8.7,6.0,223.3,6.699999999999999,187.3,6.499999999999999
002.K6AB,49.6,273.6,1.9,8.6,8.5,36.6,224.7,2.2,8.6,6.1,224.00000000000003,6.699999999999999,188.1,6.3999999999999995
002.K6B,49.8,275.1,1.9,8.7,8.7,36.1,225.2,2.2,8.7,6.4,225.3,6.799999999999999,189.1,6.499999999999999
002.K7,45.7,266.0,1.8,8.6,8.3,33.1,216.9,2.3,8.9,6.4,220.3,6.8,183.8,6.6000000000000005
002.K8,46.9,268.2,1.8,8.6,8.3,34.6,219.4,2.2,8.8,6.2,221.29999999999998,6.8,184.8,6.6000000000000005
002.KA0,45.5,263.8,1.8,8.4,7.8,33.4,215.5,2.2,8.8,5.9,218.3,6.6000000000000005,182.1,6.6000000000000005
002.KAA0,46.1,265.1,1.8,8.4,7.8,34.3,216.7,2.2,8.7,5.8,219.00000000000003,6.6000000000000005,182.39999999999998,6.499999999999999
002.KAAZ,47.3,268.0,1.9,8.4,8.0,36.0,220.2,2.2,8.6,5.7,220.7,6.5,184.2,6.3999999999999995
002.KAB,46.2,264.6,1.8,8.2,7.4,35.3,213.5,2.2,8.5,5.1,218.40000000000003,6.3999999999999995,178.2,6.3
002.KB,45.3,262.0,1.7,8.1,7.1,32.8,209.2,2.2,8.5,5.1,216.7,6.3999999999999995,176.39999999999998,6.3
002.KC1,45.0,260.6,1.7,7.9,6.7,31.2,202.6,2.2,8.3,4.6,215.60000000000002,6.2,171.4,6.1000000000000005
002.KC20,44.6,260.1,1.7,7.8,6.5,30.4,198.4,2.1,8.1,4.3,215.50000000000003,6.1,168.0,6.0
002.KC2Z,44.8,260.8,1.8,7.9,6.7,32.2,200.8,2.2,8.1,4.3,216.0,6.1000000000000005,168.60000000000002,5.8999999999999995
002.KC3,44.9,260.3,1.7,7.9,6.6,30.2,202.1,2.2,8.3,4.7,215.4,6.2,171.9,6.1000000000000005
002.KC4,44.9,260.5,1.7,7.9,6.6,31.0,201.6,2.2,8.2,4.5,215.6,6.2,170.6,5.999999999999999
002.KC5,44.9,260.3,1.7,7.8,6.5,30.2,200.9,2.2,8.2,4.6,215.4,6.1,170.70000000000002,5.999999999999999
002.KC6,44.8,260.2,1.7,7.8,6.5,30.2,200.1,2.2,8.2,4.5,215.39999999999998,6.1,169.9,5.999999999999999
002.KC7,44.8,260.1,1.7,7.8,6.5,29.8,199.9,2.2,8.2,4.5,215.3,6.1,170.1,5.999999999999999
002.KC8,44.8,260.1,1.7,7.8,6.5,29.9,199.7,2.2,8.2,4.5,215.3,6.1,169.79999999999998,5.999999999999999
002.KCZ,44.3,259.3,1.7,7.7,6.2,28.3,193.5,2.1,7.9,4.1,215.0,6.0,165.2,5.800000000000001
002.KD,44.8,259.8,1.7,7.7,6.2,28.2,196.7,2.1,8.1,4.4,215.0,6.0,168.5,6.0
002.L1,44.0,260.6,1.7,8.4,7.7,31.2,213.0,2.3,8.9,6.3,216.60000000000002,6.7,181.8,6.6000000000000005
002.L20,44.7,261.5,1.7,8.3,7.5,32.0,213.1,2.2,8.8,5.9,216.8,6.6000000000000005,181.1,6.6000000000000005
002.L2Z,44.8,260.2,1.7,8.0,6.9,30.4,207.1,2.2,8.5,5.3,215.39999999999998,6.3,176.7,6.3
002.L31,43.8,258.4,1.6,8.2,7.2,29.7,210.6,2.2,8.8,6.0,214.59999999999997,6.6,180.9,6.6000000000000005
002.L32,44.2,258.5,1.6,8.1,6.9,28.9,208.7,2.2,8.7,5.8,214.3,6.5,179.79999999999998,6.499999999999999
002.L3A0,43.8,258.3,1.6,8.2,7.1,29.4,210.1,2.2,8.8,6.0,214.5,6.6,180.7,6.6000000000000005
002.L3AZ,43.2,256.4,1.6,8.1,6.9,27.4,210.2,2.3,8.9,6.3,213.2,6.5,182.79999999999998,6.6000000000000005
002.L3B,43.9,257.3,1.6,8.0,6.7,27.1,209.3,2.2,8.7,6.1,213.4,6.4,182.20000000000002,6.499999999999999
002.L40,44.5,259.3,1.7,8.0,6.9,29.5,208.1,2.2,8.6,5.6,214.8,6.3,178.6,6.3999999999999995
002.L4Z,44.9,259.6,1.6,7.8,6.4,28.2,203.2,2.2,8.4,5.1,214.70000000000002,6.199999999999999,175.0,6.2
002.L5,44.6,258.1,1.6,7.9,6.4,26.2,207.9,2.2,8.6,5.8,213.50000000000003,6.300000000000001,181.70000000000002,6.3999999999999995
002.L61,44.6,258.7,1.6,7.9,6.6,27.8,207.0,2.2,8.6,5.6,214.1,6.300000000000001,179.2,6.3999999999999995
002.L62,44.9,258.8,1.6,7.8,6.4,26.4,206.1,2.2,8.5,5.6,213.9,6.199999999999999,179.7,6.3
002.L6Z,45.1,259.6,1.6,7.8,6.3,27.1,202.7,2.2,8.4,5.1,214.50000000000003,6.199999999999999,175.6,6.2
002.LA0,45.6,259.7,1.6,7.7,6.1,25.3,204.2,2.2,8.4,5.3,214.1,6.1,178.89999999999998,6.2
002.LAZ,45.1,259.8,1.6,7.6,6.0,25.9,195.7,2.1,8.0,4.5,214.70000000000002,6.0,169.79999999999998,5.9
002.LB0,46.0,260.8,1.6,7.5,5.8,23.7,196.2,2.1,8.0,4.6,214.8,5.9,172.5,5.9
002.LBZ,42.6,256.8,1.6,7.2,5.5,21.9,175.1,2.0,7.3,3.2,214.20000000000002,5.6,153.2,5.3
002.LC11,46.2,261.3,1.6,7.4,5.6,22.1,192.7,2.1,7.8,4.3,215.10000000000002,5.800000000000001,170.6,5.699999999999999
002.LC12,45.8,260.8,1.5,7.3,5.5,21.2,191.5,2.1,7.7,4.1,215.0,5.8,170.3,5.6
002.LC1Z,46.1,260.8,1.5,7.2,5.4,20.7,197.4,2.1,7.7,4.4,214.70000000000002,5.7,176.70000000000002,5.6
002.LC2,45.7,260.6,1.6,7.3,5.6,22.1,190.2,2.1,7.7,4.1,214.90000000000003,5.699999999999999,168.1,5.6
002.LCZ,44.8,259.3,1.5,7.1,5.3,20.2,191.1,2.1,7.5,4.0,214.5,5.6,170.9,5.4
002.LD,44.0,258.5,1.6,7.2,5.4,20.8,182.3,2.0,7.4,3.5,214.5,5.6,161.5,5.4
002.LE,41.6,255.6,1.6,7.0,5.3,19.9,171.2,2.0,7.0,2.9,214.0,5.4,151.29999999999998,5.0
002.LF0,40.9,254.8,1.5,6.9,5.2,19.7,172.0,2.0,6.9,2.8,213.9,5.4,152.3,4.9
002.LFZ,38.6,251.8,1.6,6.8,5.2,20.5,158.4,1.9,6.5,2.1,213.20000000000002,5.199999999999999,137.9,4.6
002.LG,37.6,250.8,1.5,6.7,5.1,21.6,161.0,1.9,6.3,2.1,213.20000000000002,5.2,139.4,4.4
002.M1,45.4,259.1,1.6,7.7,6.1,24.8,206.7,2.2,8.5,5.7,213.70000000000002,6.1,181.89999999999998,6.3
002.M20,45.7,259.6,1.6,7.7,6.1,24.6,205.6,2.2,8.4,5.5,213.90000000000003,6.1,181.0,6.2
002.M2A1,46.0,260.0,1.5,7.6,5.9,23.7,206.1,2.2,8.4,5.5,214.0,6.1,182.4,6.2
002.M2A2,45.8,259.7,1.5,7.7,6.0,24.1,205.8,2.2,8.4,5.5,213.89999999999998,6.2,181.70000000000002,6.2
002.M2A3,46.2,260.2,1.5,7.6,5.9,23.7,205.2,2.2,8.3,5.4,214.0,6.1,181.5,6.1000000000000005
002.M2A4,46.1,260.3,1.6,7.6,5.9,24.0,204.2,2.2,8.3,5.3,214.20000000000002,6.0,180.2,6.1000000000000005
002.M2AZ,46.8,261.1,1.5,7.4,5.7,22.0,204.8,2.1,8.1,5.2,214.3,5.9,182.8,6.0
002.M2B,46.9,261.6,1.5,7.4,5.6,22.1,201.6,2.1,8.1,4.9,214.70000000000002,5.9,179.5,6.0
002.M30,45.3,257.8,1.5,7.6,6.0,22.9,211.6,2.2,8.6,6.1,212.5,6.1,188.7,6.3999999999999995
002.M3A,45.3,258.2,1.5,7.7,6.0,23.5,210.3,2.2,8.6,6.1,212.89999999999998,6.2,186.8,6.3999999999999995
002.M3B,44.4,257.0,1.6,7.8,6.3,24.7,210.0,2.2,8.7,6.2,212.6,6.199999999999999,185.3,6.499999999999999
002.M3C,44.5,256.9,1.5,7.8,6.2,24.1,210.9,2.2,8.7,6.3,212.39999999999998,6.3,186.8,6.499999999999999
002.M40,46.0,259.5,1.5,7.6,5.9,22.9,208.8,2.2,8.4,5.8,213.5,6.1,185.9,6.2
002.M4Z,46.5,260.5,1.5,7.3,5.6,21.2,207.3,2.1,8.1,5.3,214.0,5.8,186.10000000000002,6.0
002.M51,45.4,257.2,1.5,7.4,5.7,21.3,216.0,2.2,8.5,6.2,211.79999999999998,5.9,194.7,6.3
002.M52,45.2,256.5,1.5,7.3,5.5,20.5,219.6,2.2,8.3,6.1,211.3,5.8,199.1,6.1000000000000005
002.M61,46.1,258.8,1.5,7.4,5.6,21.3,213.6,2.2,8.4,5.9,212.70000000000002,5.9,192.29999999999998,6.2
002.M62,46.1,258.9,1.5,7.3,5.5,20.7,214.7,2.1,8.2,5.7,212.79999999999998,5.8,194.0,6.1
002.M7,44.6,256.2,1.5,7.1,5.4,20.2,219.6,2.1,8.0,5.5,211.6,5.6,199.4,5.9
002.M81,45.6,257.9,1.5,7.2,5.4,20.3,216.8,2.1,8.1,5.6,212.29999999999998,5.7,196.5,6.0
002.M82,44.6,257.1,1.5,7.0,5.3,20.0,214.7,2.1,7.8,5.1,212.50000000000003,5.5,194.7,5.699999999999999
002.M8Z,45.2,258.8,1.5,7.1,5.4,20.1,207.4,2.1,7.8,4.8,213.60000000000002,5.6,187.3,5.699999999999999
002.MA0,43.7,255.9,1.5,6.9,5.3,20.0,215.8,2.1,7.6,4.9,212.2,5.4,195.8,5.5
002.MAA11,43.4,255.8,1.5,6.9,5.3,20.0,213.7,2.0,7.5,4.7,212.4,5.4,193.7,5.5
002.MAA12,43.3,256.0,1.5,6.9,5.3,20.0,211.3,2.0,7.5,4.6,212.7,5.4,191.3,5.5
002.MAA21,43.6,256.0,1.5,6.9,5.3,20.0,214.0,2.1,7.6,4.8,212.4,5.4,194.0,5.5
002.MAA22,43.8,256.5,1.5,6.9,5.3,19.9,211.8,2.1,7.6,4.7,212.7,5.4,191.9,5.5
002.MAA2Z,43.9,257.1,1.5,7.0,5.3,19.9,208.0,2.1,7.5,4.6,213.20000000000002,5.5,188.1,5.4
002.MAA3,43.0,255.9,1.5,6.9,5.3,19.9,208.1,2.0,7.4,4.4,212.9,5.4,188.2,5.4
002.MAA4,43.3,256.5,1.5,6.9,5.3,19.8,205.8,2.0,7.4,4.4,213.2,5.4,186.0,5.4
002.MAA5,42.5,255.8,1.5,6.9,5.3,19.8,201.3,2.0,7.2,4.0,213.3,5.4,181.5,5.2
002.MAA6,43.0,256.5,1.5,6.9,5.3,19.7,201.5,2.0,7.3,4.1,213.5,5.4,181.8,5.3
002.MAAA,43.9,257.8,1.5,7.0,5.3,19.6,198.6,2.0,7.4,4.2,213.9,5.5,179.0,5.4
002.MAAB,43.5,257.5,1.5,7.0,5.3,19.5,195.1,2.0,7.3,4.0,214.0,5.5,175.6,5.3
002.MAAC,43.6,257.8,1.5,7.0,5.3,19.4,191.1,2.0,7.3,3.8,214.20000000000002,5.5,171.7,5.3
002.MAB,42.1,255.8,1.5,6.9,5.2,19.5,191.4,2.0,7.1,3.6,213.70000000000002,5.4,171.9,5.1
002.MAC,42.4,256.5,1.5,7.0,5.2,19.4,183.5,2.0,7.1,3.4,214.1,5.5,164.1,5.1
002.MAD,42.5,256.6,1.5,7.0,5.3,19.6,180.2,2.0,7.1,3.3,214.10000000000002,5.5,160.6,5.1
002.MB1,42.8,254.6,1.5,6.8,5.3,20.2,218.5,2.0,7.5,4.8,211.8,5.3,198.3,5.5
002.MB20,43.0,255.4,1.5,6.9,5.3,20.1,214.4,2.0,7.5,4.7,212.4,5.4,194.3,5.5
002.MB2Z,42.1,254.9,1.5,6.8,5.3,20.1,206.6,2.0,7.2,4.2,212.8,5.3,186.5,5.2
002.MB3,41.8,253.8,1.5,6.7,5.3,20.4,216.6,2.0,7.3,4.5,212.0,5.2,196.2,5.3
002.MB4,41.8,254.2,1.5,6.8,5.3,20.3,212.9,2.0,7.2,4.3,212.39999999999998,5.3,192.6,5.2
002.MBA110,40.8,253.1,1.5,6.7,5.3,20.7,213.3,2.0,7.0,4.2,212.3,5.2,192.60000000000002,5.0
002.MBA11A,40.5,252.8,1.5,6.7,5.3,20.8,214.6,2.0,7.0,4.2,212.3,5.2,193.79999999999998,5.0
002.MBA11B,40.2,252.4,1.5,6.6,5.4,21.0,216.5,1.9,6.9,4.2,212.2,5.1,195.5,5.0
002.MBA12,40.4,252.8,1.5,6.6,5.3,20.8,212.5,2.0,6.9,4.1,212.4,5.1,191.7,4.9
002.MBA13,40.3,252.7,1.5,6.6,5.3,20.9,212.2,1.9,6.9,4.1,212.39999999999998,5.1,191.29999999999998,5.0
002.MBA21,40.6,253.1,1.5,6.7,5.3,20.7,210.9,2.0,6.9,4.1,212.5,5.2,190.20000000000002,4.9
002.MBA22,40.2,252.7,1.5,6.6,5.3,20.9,210.9,1.9,6.9,4.0,212.5,5.1,190.0,5.0
002.MBA23,40.2,252.6,1.5,6.6,5.3,20.9,211.6,1.9,6.9,4.0,212.39999999999998,5.1,190.7,5.0
002.MBA3,40.0,252.3,1.5,6.6,5.4,21.0,213.2,1.9,6.8,4.0,212.3,5.1,192.2,4.9
002.MBA4,39.9,252.4,1.5,6.6,5.4,21.0,211.5,1.9,6.8,4.0,212.5,5.1,190.5,4.9
002.MBAZ,38.8,251.1,1.5,6.5,5.5,21.5,216.0,1.9,6.6,4.0,212.3,5.0,194.5,4.699999999999999
002.MBB1,39.4,251.8,1.5,6.6,5.4,21.2,212.4,1.9,6.7,3.9,212.4,5.1,191.20000000000002,4.800000000000001
002.MBB2,39.7,252.1,1.5,6.6,5.4,21.1,211.3,1.9,6.7,3.9,212.39999999999998,5.1,190.20000000000002,4.800000000000001
002.MBB3,38.0,250.6,1.5,6.5,5.5,21.7,206.4,1.9,6.4,3.6,212.6,5.0,184.70000000000002,4.5
