regine,wood_din_µg/l,wood_totn_µg/l,wood_tdp_µg/l,wood_totp_µg/l,wood_toc_mg/l,upland_din_µg/l,upland_totn_µg/l,upland_tdp_µg/l,upland_totp_µg/l,upland_toc_mg/l,wood_ton_µg/l,wood_tpp_µg/l,upland_ton_µg/l,upland_tpp_µg/l
001.A5,78.7,497.0,1.4,10.8,21.5,68.5,306.7,2.0,8.2,10.1,418.3,9.4,238.2,6.199999999999999
001.A6,78.8,496.4,1.4,10.8,21.4,68.3,306.4,2.0,8.2,10.1,417.59999999999997,9.4,238.09999999999997,6.199999999999999
001.A7,78.6,497.4,1.4,10.8,21.5,68.6,306.8,2.0,8.3,10.1,418.79999999999995,9.4,238.20000000000002,6.300000000000001
001.A8,78.4,497.6,1.4,10.8,21.5,68.5,306.6,2.0,8.3,10.1,419.20000000000005,9.4,238.10000000000002,6.300000000000001
001.B10,77.6,499.4,1.4,10.8,21.7,68.3,306.4,2.0,8.3,10.1,421.79999999999995,9.4,238.09999999999997,6.300000000000001
001.B1A,76.9,500.8,1.4,10.9,21.9,68.1,306.1,2.0,8.3,10.1,423.9,9.5,238.00000000000003,6.300000000000001
001.B1B1,77.1,500.8,1.3,10.9,21.8,68.4,306.5,2.0,8.3,10.1,423.70000000000005,9.6,238.1,6.300000000000001
001.B1B2,76.6,501.7,1.3,10.9,22.0,68.3,306.3,2.0,8.4,10.1,425.1,9.6,238.0,6.4
001.B1B3,76.9,501.6,1.3,10.9,21.9,68.5,306.6,2.0,8.4,10.1,424.70000000000005,9.6,238.10000000000002,6.4
001.B1B4,76.2,504.4,1.3,10.9,22.2,69.1,307.3,2.0,8.4,10.1,428.2,9.6,238.20000000000002,6.4
001.B1C,77.2,501.2,1.3,10.9,21.9,68.7,306.9,2.0,8.3,10.1,424.0,9.6,238.2,6.300000000000001
001.B1D,77.4,501.1,1.3,10.8,21.8,69.0,307.2,2.0,8.3,10.1,423.70000000000005,9.5,238.2,6.300000000000001
001.B1E,77.4,502.4,1.3,10.8,21.9,69.6,308.0,2.0,8.4,10.1,425.0,9.5,238.4,6.4
001.B21,78.0,497.0,1.4,10.8,21.5,67.6,305.4,2.0,8.3,10.1,419.0,9.4,237.79999999999998,6.300000000000001
001.B22,75.9,501.2,1.4,11.0,22.0,67.1,304.6,2.0,8.4,10.1,425.29999999999995,9.6,237.50000000000003,6.4
001.B2A,77.2,496.8,1.4,10.9,21.6,66.5,304.0,2.0,8.3,10.1,419.6,9.5,237.5,6.300000000000001
001.B2B,77.3,495.5,1.5,10.9,21.5,65.9,303.2,2.0,8.3,10.0,418.2,9.4,237.29999999999998,6.300000000000001
