regine,trans_totp,trans_tdp,trans_tpp,trans_totn,trans_din,trans_ton,trans_ss,trans_toc,ret_totp,ret_tdp,ret_tpp,ret_totn,ret_din,ret_ton,ret_ss,ret_toc
001.1B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.1C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.1D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.1E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.1F,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.1G,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.1H,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.1J,0.37746,0.577477,0.19832,0.64306,0.56673,0.861393,0.000833,0.501139,0.62254,0.422523,0.80168,0.35694,0.43327,0.138607,0.999167,0.498861
001.1K,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.1L,0.333716,0.50043,0.200275,0.478001,0.407156,0.746409,0.00278,0.489423,0.666284,0.49957,0.799725,0.521999,0.592844,0.253591,0.99722,0.510577
001.1M,0.212613,0.416678,0.07323,0.446862,0.366723,0.74057,3.9e-05,0.30152,0.787387,0.583322,0.92677,0.553138,0.633277,0.25943,0.999961,0.69848
001.21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.2210,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
