year,tot_cu_tonnes,comment
1990,158,
1991,149,Interpolated value
1992,139,
1993,173,
1994,228,
1995,291,
1996,336,
1997,384,
1998,432,
1999,431,
2000,487,
2001,431,
2002,544,
2003,563,
2004,573,
2005,623,
2006,740,
2007,843,
2008,854,
2009,987,
2010,820,
2011,920,
2012,798,
2013,1086,
2014,1130,
2015,1154,
2016,1335,
2017,1432,
2018,1626,
2019,1698,
2020,1539,
2021,1097,
2022,440,Cu is being replaced by other products (e.g. sinkpyriton)
