variable,value
urban_totn_µg/l,1000
urban_din_µg/l,650
urban_ton_µg/l,350
urban_totp_µg/l,150
urban_tdp_µg/l,70
urban_tpp_µg/l,80
urban_toc_µg/l,7000
urban_ss_mg/l,40
wood_ss_kg/km2,1000
upland_ss_kg/km2,23000
glacier_ss_kg/km2,131000
