vatnLnr,nve_area_km2,nve_perim_km,avg_dep_m,max_dep_m,vol_Mm3,res_time_yr,regine,area_km2,perim_km,width_km,length_km,aspect_ratio,vassom,slp_min,slp_p25,slp_median,slp_p75,slp_max,slp_mean,slp_std,slp_count,dem_min,dem_p25,dem_median,dem_p75,dem_max,dem_mean,dem_std,dem_count,delta_elev
2,51.0,0.0,190.0,460.0,9700.0,2.89730808,016.G11,51.56144809074521,98.90435469320195,1.065615030763798,48.38656231583718,45.40716949267812,016,0.0014338999753817916,16.246753692626953,26.260751724243164,34.93674278259277,81.47616577148438,26.02752136641094,13.54161598010181,461823,185.53639221191406,231.5017852783203,298.6981201171875,387.78565979003906,803.5174560546875,321.61592644801146,107.385797965516,461823,136.0795342360974
3,78.51,206.62,20.0,68.5,1573.523,1.0,016.J11,79.09715962820451,214.0265660438563,0.7443109506616921,106.26897207126646,142.77496787705917,016,0.0026286146603524685,4.603399276733398,9.306503295898438,16.25648260116577,73.17198181152344,11.631870456859922,9.2453045453059,569540,887.2023315429688,926.7142028808594,939.0842895507812,963.9462432861328,1249.8021240234375,951.5896758787794,36.59347518351311,569540,64.38734433581067
6,58.4,0.0,87.0,171.0,5100.0,0.60912455,016.B3,55.11615938836236,142.7025648425465,0.7810110162684367,70.57027140500482,90.35758771006826,016,0.0001098960274248384,6.320945620536804,12.022390365600586,19.944762229919434,78.14411926269531,14.426634259796478,10.917152168611752,396418,5.386335372924805,30.755404949188232,46.02976608276367,70.73182678222656,348.0877990722656,56.862473449742446,40.265094253732194,396418,51.47613807681764
7,18.7,0.0,67.0,152.0,1260.0,0.39020221,016.BB11,19.5992027033435,53.9747554768444,0.7469074481727667,26.240470290249434,35.13215774517189,016,0.000783491472247988,11.094938516616821,19.256717681884766,28.39266300201416,82.35335540771484,21.196704316794698,13.600658050681606,179902,71.86174774169922,94.68224906921387,124.60979461669922,176.05141067504883,486.98370361328125,145.06960456248402,68.7958056699636,179902,73.2078568207848
8,13.8,0.0,92.0,201.0,1280.0,0.41260285,016.BB11,15.765148456226576,44.44750560339904,0.7335986684157678,21.490154133283752,29.294156408015976,016,0.00018023418670054525,13.209652423858643,22.914228439331055,33.122657775878906,78.77062225341797,23.704220733765133,13.855810308532911,135711,71.99329376220703,96.43531799316406,130.06838989257812,180.9899673461914,525.2196655273438,147.52818857719714,66.43495586876762,135711,75.53489481499011
9,37.5,0.0,62.0,306.0,2360.0,0.0,016.BG111,37.26421831982741,89.78082602673177,0.8460612271165573,44.04435178624933,52.058113969311556,016,0.001172948512248695,9.035381317138672,17.6301326751709,30.05714988708496,77.45101165771484,20.43951209971373,14.040206619252475,281205,653.4880981445312,702.1124267578125,729.017578125,790.27880859375,1110.781494140625,757.7027719990754,75.67156287910846,281205,104.21467385454412
22,26.12,0.0,121.0,325.0,3169.4,1.09240123,016.BD31,26.769669253784347,70.08777284990957,0.7813092732414546,34.26257715171333,43.8527716554119,016,0.00027646662783809006,25.132648468017578,33.565303802490234,40.68496894836426,78.47093963623047,32.770425097678306,13.285102867965028,234699,72.00529479980469,119.37717819213867,181.72970581054688,264.84996032714844,647.41162109375,200.20787476725508,97.22356365309949,234699,128.2025799674504
23,0.49,0.0,3.4,12.0,1.66,0.01491565,016.BDC1,3.121116595352031,17.661917918166843,0.36883365381123223,8.462125305272188,22.94293163823677,016,0.009127586148679256,7.77969491481781,12.304048538208008,17.914551258087158,58.28291320800781,13.572911877564012,7.932563142179522,28276,702.980712890625,746.6455993652344,755.335205078125,767.6434936523438,833.612548828125,758.5171169896732,16.411087739840998,28276,55.53640409904824
24,2.98,21.77,7.0,35.5,21.747,0.017,016.BEA3,3.319671364204921,27.72177514855092,0.24378694515226407,13.617100629123195,55.856562051008304,016,0.00019549141870811582,3.6384053826332092,12.793281555175781,23.79695463180542,61.086219787597656,15.443199417931785,13.286473979151943,29378,449.1092834472656,467.4147644042969,475.0579833984375,491.0420150756836,578.3121337890625,482.57362652324866,19.88220679256026,29378,33.46434307598304
27,0.5,0.0,16.2,33.5,8.5,0.03477251,016.CC5,0.6903436148000315,4.763137311463919,0.33777571085721725,2.0437929448747423,6.050739822848551,016,0.007809998467564583,2.5382518768310547,20.002717971801758,33.394500732421875,64.32320404052734,20.77788194837541,16.67724112905692,8833,159.15760803222656,161.44960021972656,175.7052459716797,208.7884063720703,354.04486083984375,190.64687818408242,37.75297795888583,8833,31.489270151855862
