vassom;ospar_region
1;Skagerrak
2;Skagerrak
3;Skagerrak
4;Skagerrak
5;Skagerrak
6;Skagerrak
7;Skagerrak
8;Skagerrak
9;Skagerrak
10;Skagerrak
11;Skagerrak
12;Skagerrak
13;Skagerrak
14;Skagerrak
15;Skagerrak
16;Skagerrak
17;Skagerrak
18;Skagerrak
19;Skagerrak
20;Skagerrak
21;Skagerrak
22;Skagerrak
23;Skagerrak
24;North Sea
25;North Sea
26;North Sea
27;North Sea
28;North Sea
29;North Sea
30;North Sea
31;North Sea
32;North Sea
33;North Sea
34;North Sea
35;North Sea
36;North Sea
37;North Sea
38;North Sea
39;North Sea
40;North Sea
41;North Sea
42;North Sea
43;North Sea
44;North Sea
45;North Sea
46;North Sea
47;North Sea
48;North Sea
49;North Sea
50;North Sea
51;North Sea
52;North Sea
53;North Sea
54;North Sea
55;North Sea
56;North Sea
57;North Sea
58;North Sea
59;North Sea
60;North Sea
61;North Sea
62;North Sea
63;North Sea
64;North Sea
65;North Sea
66;North Sea
67;North Sea
68;North Sea
69;North Sea
70;North Sea
71;North Sea
72;North Sea
73;North Sea
74;North Sea
75;North Sea
76;North Sea
77;North Sea
78;North Sea
79;North Sea
80;North Sea
81;North Sea
82;North Sea
83;North Sea
84;North Sea
85;North Sea
86;North Sea
87;North Sea
88;North Sea
89;North Sea
90;North Sea
91;Norwegian Sea (2)
92;Norwegian Sea (2)
93;Norwegian Sea (2)
94;Norwegian Sea (2)
95;Norwegian Sea (2)
96;Norwegian Sea (2)
97;Norwegian Sea (2)
98;Norwegian Sea (2)
99;Norwegian Sea (2)
100;Norwegian Sea (2)
101;Norwegian Sea (2)
102;Norwegian Sea (2)
103;Norwegian Sea (2)
104;Norwegian Sea (2)
105;Norwegian Sea (2)
106;Norwegian Sea (2)
107;Norwegian Sea (2)
108;Norwegian Sea (2)
109;Norwegian Sea (2)
110;Norwegian Sea (2)
111;Norwegian Sea (2)
112;Norwegian Sea (2)
113;Norwegian Sea (2)
114;Norwegian Sea (2)
115;Norwegian Sea (2)
116;Norwegian Sea (2)
117;Norwegian Sea (2)
118;Norwegian Sea (2)
119;Norwegian Sea (2)
120;Norwegian Sea (2)
121;Norwegian Sea (2)
122;Norwegian Sea (2)
123;Norwegian Sea (2)
124;Norwegian Sea (2)
125;Norwegian Sea (2)
126;Norwegian Sea (2)
127;Norwegian Sea (2)
128;Norwegian Sea (2)
