N°,Reference,Name,Type,Period,Location,z,tau,RTN,RDIN,LTN,LDIN,LDIN/LTN,CTP,TN/TP,rho,LDON,LTN_out,LDIN_out,LDON_out,RDON
225,Mengis et al. 1997,Baldeggersee,Lake,1989-1990,Switzerland,33.0,4.1,,0.84,,42.0,,99.0,,0.24390243902439027,,,6.7200000000000015,,
226,Mengis et al. 1997,Zugersee,Lake,1995,Switzerland,84.0,14.4,,1.0,,9.0,,158.0,,0.06944444444444445,,,0.0,,
227,Olsen and Andersen 1994,Kvie,Lake,1989,Denmark,1.2,1.5,,0.8,,3.0,,80.0,,0.6666666666666666,,,0.5999999999999999,,
228,Schelske 1975,Michigan,Lake,1962-1964,USA,84.0,100.0,,0.93,1.0,1.0,0.72,10.0,,0.01,0.01,,0.06999999999999995,,
229,Garnier et al. 1999,Aube,Reservoir,1994-1995,France,7.6,0.6,,0.53,,37.0,,,,1.6666666666666667,,,17.39,,
230,Garnier et al. 1999,Marne,Reservoir,1993-1995,France,7.2,0.5,,0.5,,45.0,,,,2.0,,,22.5,,
231,Garnier et al. 1999,Seine,Reservoir,1993-1995,France,8.9,0.4,,0.26,,104.0,,,,2.5,,,76.96,,
232,Kelly 2001,Falcon,Reservoir,1996-1998,USA,11.2,0.8,,0.76,,4.0,,,,1.25,,,0.96,,
233,Kelly 2001,Amistad,Reservoir,1996-1998,USA,47.7,1.6,,0.37,,5.0,,,,0.625,,,3.15,,
234,Kelly 2001,Mead,Reservoir,1996-1998,USA,55.9,3.7,,0.0,,7.0,,,,0.27027027027027023,,,7.0,,
235,Kelly 2001,Powell,Reservoir,1996-1998,USA,93.0,3.3,,0.0,,11.0,,,,0.30303030303030304,,,11.0,,
