N°,Reference,Name,Type,Period,Location,z,tau,RTN,RDIN,LTN,LDIN,LDIN/LTN,CTP,TN/TP,rho,LDON,LTN_out,LDIN_out,LDON_out,RDON
124,Salas and Martino 1991,Americana,Reservoir,1986,Brazil,7.8,0.08,0.36,,357.0,,,98.0,25.0,12.5,,228.48000000000002,,,
125,Salas and Martino 1991,Atibainha,Reservoir,1986,Brazil,12.5,0.4,0.0,,29.0,,,23.0,39.0,2.5,,29.0,,,
126,Salas and Martino 1991,Barra Bonita,Reservoir,1986,Brazil,8.6,0.2,0.46,,99.0,,,59.0,23.0,5.0,,53.46,,,
127,Salas and Martino 1991,Cachoeira,Reservoir,1986,Brazil,10.7,0.1,0.1,,72.0,,,32.0,25.0,10.0,,64.8,,,
128,Salas and Martino 1991,Funil,Reservoir,1987,Brazil,22.8,0.2,0.11,,99.0,,,41.0,14.0,5.0,,88.11,,,
129,Salas and Martino 1991,Funil,Reservoir,1988-1989,Brazil,21.0,0.1,0.27,,213.0,,,66.0,9.0,10.0,,155.49,,,
130,Salas and Martino 1991,Guarapiranga,Reservoir,1986,Brazil,4.9,0.3,0.18,,16.0,,,44.0,20.0,3.3333333333333335,,13.120000000000001,,,
131,Salas and Martino 1991,Itupararanga,Reservoir,1986,Brazil,7.8,0.7,0.68,,32.0,,,29.0,31.0,1.4285714285714286,,10.239999999999998,,,
132,Salas and Martino 1991,Jaguari,Reservoir,1986,Brazil,16.8,1.2,0.53,,23.0,,,36.0,22.0,0.8333333333333334,,10.809999999999999,,,
133,Salas and Martino 1991,Lajes,Reservoir,1988-1989,Brazil,13.6,0.8,0.07,,9.0,,,18.0,26.0,1.25,,8.37,,,
134,Salas and Martino 1991,Paiva Castro,Reservoir,1986,Brazil,5.4,0.03,0.13,,185.0,,,23.0,36.0,33.333333333333336,,160.95,,,
135,Salas and Martino 1991,Paraibuna,Reservoir,1986,Brazil,26.4,1.9,0.23,,10.0,,,16.0,36.0,0.5263157894736842,,7.7,,,
136,Salas and Martino 1991,Ponte Nova,Reservoir,1986,Brazil,8.3,0.8,0.23,,8.0,,,25.0,23.0,1.25,,6.16,,,
137,Salas and Martino 1991,Taiaçupeba,Reservoir,1986,Brazil,2.2,0.1,0.35,,13.0,,,31.0,16.0,10.0,,8.450000000000001,,,
138,Vanni et al. 2011,Acton,Reservoir,2001,USA,3.9,0.1,0.3,,380.0,327.0,0.86,168.0,52.0,10.0,53.0,266.0,,,
139,Tomaszek and Koszelnik 2003,Rzeszów,Reservoir,1999-2001,Poland,0.5,0.006,0.23,,1299.0,,,,,166.66666666666666,,1000.23,,,
140,Tomaszek and Koszelnik 2003,Solina,Reservoir,1999-2001,Poland,22.0,0.6,0.12,,124.0,,,,,1.6666666666666667,,109.12,,,
141,Ahlgren et al. 1994,Norrviken,Lake,1992-1993,Sweden,5.4,0.9,0.19,0.37,8.0,3.0,0.39,75.0,15.0,1.1111111111111112,5.0,6.48,1.8900000000000001,4.59,0.08200000000000007
142,Ahlgren et al. 1994,Vallentuna,Lake,1992-1993,Sweden,2.5,2.0,0.45,0.85,3.0,2.0,0.72,65.0,18.0,0.5,1.0,1.6500000000000001,0.30000000000000004,1.35,-0.3500000000000001
143,Andersen 1974,Bryrup Langsø,Lake,1972-1973,Denmark,5.0,0.4,0.55,0.7,83.0,74.0,0.9,130.0,20.0,2.5,9.0,37.349999999999994,22.200000000000003,15.149999999999991,-0.6833333333333325
144,Andersen 1974,Halle sø,Lake,1972-1974,Denmark,2.8,0.1,0.53,0.73,86.0,73.0,0.85,82.0,18.0,10.0,13.0,40.419999999999995,19.71,20.709999999999994,-0.5930769230769226
145,Andersen 1974,Kul sø,Lake,1972-1973,Denmark,2.2,0.05,0.23,0.5,109.0,42.0,0.39,229.0,8.0,20.0,67.0,83.93,21.0,62.93000000000001,0.060746268656716285
146,Andersen 1974,Kvind sø,Lake,1972-1973,Denmark,1.9,0.04,0.28,0.58,162.0,114.0,0.7,179.0,13.0,25.0,48.0,116.64,47.88,68.75999999999999,-0.4324999999999999
147,Andersen 1974,Salten Langsø,Lake,1972-1973,Denmark,4.1,0.2,0.23,0.28,25.0,9.0,0.35,63.0,12.0,5.0,16.0,19.25,6.4799999999999995,12.77,0.20187500000000003
148,Andersen 1974,Stigsholm Sø,Lake,1972-1973,Denmark,1.2,0.03,0.24,0.19,81.0,38.0,0.47,122.0,12.0,33.333333333333336,43.0,61.56,30.78,30.78,0.28418604651162793
149,Broberg and Persson 1984,Gårdsjörn,Lake,1979-1981,Sweden,4.9,1.0,0.42,0.57,3.0,2.0,0.61,4.0,78.0,1.0,1.0,1.7400000000000002,0.8600000000000001,0.8800000000000001,0.11999999999999988
150,Ekholm et al. 1997,Phyäjärvi,Lake,1992,Finland,5.4,3.0,0.84,0.95,3.0,3.0,0.77,10.0,29.0,0.3333333333333333,0.01,0.4800000000000001,0.15000000000000013,0.32999999999999996,-31.999999999999993
151,Gibson et al. 1992,Neagh,Lake,1975-1987,Ireland,8.9,1.2,0.53,0.77,24.0,17.0,0.72,115.0,14.0,0.8333333333333334,7.0,11.28,3.9099999999999997,7.369999999999999,-0.052857142857142714
152,Hayward et al. 1993,Lower Lough Erne,Lake,1989,Northern Ireland,11.9,0.4,0.15,0.01,38.0,14.0,0.37,45.0,26.0,2.5,24.0,32.3,13.86,18.439999999999998,0.2316666666666668
153,ISE-CNR 1981–1990,Maggiore,Lake,1980-1989,Italy/Switzerland,176.5,2.4,0.23,0.27,52.0,42.0,0.8,13.0,56.0,0.4166666666666667,10.0,40.04,30.66,9.379999999999999,0.062000000000000055
154,ISE-CNR 1991–2000,Maggiore,Lake,1990-1999,Italy/Switzerland,176.5,2.3,0.23,0.27,50.0,40.0,0.8,8.0,83.0,0.4347826086956522,10.0,38.5,29.2,9.3,0.06999999999999995
155,ISE-CNR 2001–2009,Maggiore,Lake,2000-2009,Italy/Switzerland,176.5,2.1,0.2,0.24,46.0,40.0,0.87,7.0,77.0,0.47619047619047616,6.0,36.800000000000004,30.4,6.400000000000006,-0.06666666666666754
156,"UPDA-DT 2001–2007, IST-SUPSI 2008–2012",Lugano BN,Lake,2000-2011,Italy/Switzerland,171.0,6.9,0.7,0.86,28.0,20.0,0.7,22.0,21.0,0.14492753623188406,8.0,8.400000000000002,2.8000000000000003,5.600000000000001,0.2999999999999998
157,"UPDA-DT 2001–2007, IST-SUPSI 2008–2012",Lugano BS,Lake,2000-2011,Italy/Switzerland,55.0,1.4,0.37,0.32,77.0,53.0,0.69,24.0,52.0,0.7142857142857143,24.0,48.51,36.04,12.469999999999999,0.4804166666666667
158,Jensen et al. 1992,Søbygård,Lake,1978-1989,Denmark,1.0,0.06,0.45,0.73,136.0,122.0,0.9,495.0,9.0,16.666666666666668,14.0,74.80000000000001,32.940000000000005,41.86000000000001,-1.9900000000000007
159,Jeppesen et al. 1998,Søbygård,Lake,1988-1995,Denmark,1.0,0.05,0.35,0.59,86.0,77.0,0.9,775.0,4.0,20.0,9.0,55.9,31.570000000000004,24.329999999999995,-1.7033333333333327
160,Jonsson and Jansson 1997,Örträsket,Lake,1991-1992,Sweden,23.0,0.3,0.04,-0.22,27.0,3.0,0.09,20.0,20.0,3.3333333333333335,24.0,25.919999999999998,3.66,22.259999999999998,0.07250000000000012
161,Kaste and Lyche-Solheim 2005,Nedre Laundetjenn,Lake,1999-2001,Norway,8.5,0.2,0.07,0.13,29.0,20.0,0.69,7.0,91.0,5.0,9.0,26.97,17.4,9.57,-0.06333333333333346
162,Kaste and Lyche-Solheim 2005,Øvre Laundetjenn,Lake,1999-2001,Norway,7.0,0.1,0.0,0.06,38.0,27.0,0.71,5.0,120.0,10.0,11.0,38.0,25.38,12.620000000000001,-0.14727272727272744
163,Knuuttila et al. 1994,Kotojärvi,Lake,1987-1988,Finland,2.5,0.4,0.43,0.67,10.0,4.0,0.43,67.0,15.0,2.5,6.0,5.700000000000001,1.3199999999999998,4.380000000000001,0.2699999999999999
164,Knuuttila et al. 1994,Villikkalanjärvi,Lake,1989-1990,Finland,3.2,0.2,0.17,0.18,55.0,43.0,0.79,120.0,14.0,5.0,12.0,45.65,35.260000000000005,10.389999999999993,0.1341666666666672
165,Molot and Dillon 1993,Blue Chalk,Lake,1977-1989,Canada,8.5,5.3,0.73,0.87,2.0,1.0,0.72,6.0,42.0,0.18867924528301888,1.0,0.54,0.13,0.41000000000000003,0.59
166,Molot and Dillon 1993,Chub,Lake,1977-1989,Canada,8.9,2.0,0.4,0.6,3.0,1.0,0.47,10.0,36.0,0.5,2.0,1.7999999999999998,0.4,1.4,0.30000000000000004
167,Molot and Dillon 1993,Crosson,Lake,1977-1989,Canada,9.2,1.6,0.36,0.5,3.0,2.0,0.45,11.0,36.0,0.625,1.0,1.92,1.0,0.9199999999999999,0.08000000000000007
168,Molot and Dillon 1993,Dickie,Lake,1977-1989,Canada,5.0,1.8,0.52,0.73,2.0,1.0,0.48,11.0,36.0,0.5555555555555556,1.0,0.96,0.27,0.69,0.31000000000000005
169,Molot and Dillon 1993,Harp,Lake,1977-1989,Canada,13.3,3.1,0.48,0.62,3.0,2.0,0.55,7.0,51.0,0.3225806451612903,1.0,1.56,0.76,0.8,0.19999999999999996
170,Molot and Dillon 1993,Plastic,Lake,1977-1989,Canada,7.9,3.8,0.64,0.8,2.0,1.0,0.64,6.0,45.0,0.2631578947368421,1.0,0.72,0.19999999999999996,0.52,0.48
171,Molot and Dillon 1993,Red Chalk,Lake,1977-1989,Canada,14.2,2.5,0.41,0.53,3.0,2.0,0.55,5.0,63.0,0.4,1.0,1.7700000000000002,0.94,0.8300000000000003,0.1699999999999997
172,Nõges et al. 1998,Võrtsjärv,Lake,1995,Estonia,2.8,0.9,0.52,0.77,8.0,5.0,0.62,53.0,22.0,1.1111111111111112,3.0,3.84,1.15,2.69,0.10333333333333339
173,Nõges et al. 2003,Peipsi,Lake,1998,Estonia,7.1,1.6,0.34,0.71,7.0,3.0,0.5,27.0,36.0,0.625,4.0,4.619999999999999,0.8700000000000001,3.749999999999999,0.06250000000000022
174,Serruya 1975,Kinneret,Lake,1968-70,Israel,25.0,3.4,0.7,0.88,20.0,15.0,0.77,21.0,38.0,0.29411764705882354,5.0,6.000000000000001,1.7999999999999998,4.200000000000001,0.1599999999999998
175,Sterner et al. 1989,Superior,Lake,synthesis(1948-1999),USA,147.0,191.0,0.67,0.65,1.0,1.0,0.74,3.0,172.0,0.005235602094240838,0.01,0.32999999999999996,0.35,0.01,0.0
176,David et al. 2006,Shelbyville,Reservoir,2002-2003,USA,5.5,0.3,0.33,0.38,207.0,194.0,0.94,40.0,,3.3333333333333335,13.0,138.69,120.28,18.409999999999997,-0.4161538461538459
177,Prochazkova et al. 1973,Slapy,Reservoir,1963-1964,Czech Republik,20.6,0.11,0.03,-0.06,163.0,102.0,0.63,24.0,35.0,9.090909090909092,61.0,158.10999999999999,108.12,49.98999999999998,0.18049180327868886
178,Turner et al. 1983,Talquin,Reservoir,1971-1974,USA,4.1,0.09,0.1,0.48,54.0,14.0,0.26,106.0,10.0,11.11111111111111,40.0,48.6,7.28,41.32,-0.03299999999999992
179,Calderoni et al. 1978,Lago Mergozzo,Lake,1975,Italy,45.4,4.7,,0.4,,9.0,,6.0,,0.2127659574468085,,,5.3999999999999995,,
180,Dillon and Molot 1990,Batchawana South,Lake,1981-1983,Canada,3.3,0.3,,0.24,,,,0.2,,3.3333333333333335,,,,,
181,Dillon and Molot 1990,Clearwater,Lake,1977-1979,Canada,8.3,3.7,,0.61,,,,6.0,,0.27027027027027023,,,,,
182,Dillon and Molot 1990,Lohi,Lake,1977-1979,Canada,6.2,1.0,,0.46,,,,6.0,,1.0,,,,,
183,Dillon and Molot 1990,Turkey,Lake,1981-1983,Canada,12.2,0.9,,0.29,,,,0.2,,1.1111111111111112,,,,,
184,Höhner and Gächter 1993,Aegerisee,Lake,1947-1951,Switzerland,49.3,7.1,,0.42,,3.0,,7.0,,0.14084507042253522,,,1.7400000000000002,,
185,Höhner and Gächter 1993,Alpnachersee,Lake,1971-1973,Switzerland,21.1,0.3,,0.02,,36.0,,25.0,,3.3333333333333335,,,35.28,,
